as_of_date,state_slug,state_name,beneficiaries_rural_semiurban_count,beneficiaries_urban_metro_count,total_beneficiaries_count,balance_in_beneficiary_accounts_crore,rupay_debit_cards_issued_count,source_table,source_url,interpretation_note
2026-08-19,kerala,Kerala,5778858,1881571,7660429,4294.66,4189868,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,ladakh,Ladakh,18391,3997,22388,26.70,15313,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,lakshadweep,Lakshadweep,8978,1868,10846,19.93,7460,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,madhya-pradesh,Madhya Pradesh,37180886,10484850,47665736,20368.14,35590267,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,maharashtra,Maharashtra,26982503,11566760,38549263,21500.33,27602082,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,manipur,Manipur,836045,257589,1093634,312.02,730305,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,meghalaya,Meghalaya,858950,62910,921860,505.44,575430,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,mizoram,Mizoram,270917,178090,449007,254.56,225661,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,nagaland,Nagaland,312849,98425,411274,151.67,314519,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,odisha,Odisha,21408172,2827869,24236041,13393.36,17816728,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,puducherry,Puducherry,163746,132962,296708,153.51,192679,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,punjab,Punjab,6370819,3802881,10173700,5361.13,7370076,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,rajasthan,Rajasthan,29663731,9129861,38793592,25526.27,29016047,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,sikkim,Sikkim,75825,34794,110619,60.57,75051,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,tamil-nadu,Tamil Nadu,12072668,7283108,19355776,8058.43,14174103,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,telangana,Telangana,9722991,3734677,13457668,6205.49,9320997,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,tripura,Tripura,1045361,129758,1175119,709.87,655447,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,uttar-pradesh,Uttar Pradesh,83054051,22237093,105291144,67802.73,73073718,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,uttarakhand,Uttarakhand,2970807,1178738,4149545,3152.13,2838542,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
2026-08-19,west-bengal,West Bengal,48143092,9273964,57417056,27244.51,38265734,PMJDY Statewise account opening Report,https://pmjdy.gov.in/account-statistics-state.aspx/scheme,"PMJDY beneficiary counts are a state-level financial-inclusion context measure. They are not verified unique people, active bank-account users, active debit-card users, or active UPI users; the data are not a direct measure of bank branches or ATM access."
