as_of_date,state_slug,state_name,rural_subscribers_mn,urban_subscribers_mn,total_subscribers_mn,rural_subscribers_per_100_population,urban_subscribers_per_100_population,total_subscribers_per_100_population,source_table,source_url,interpretation_note
2024-06-30,madhya-pradesh,Madhya Pradesh,20.76,28.89,49.65,33.32,112.72,56.46,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,maharashtra,Maharashtra,34.39,76.39,110.79,52.70,122.37,86.77,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,manipur,Manipur,0.98,1.35,2.32,44.53,126.06,71.25,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,meghalaya,Meghalaya,1.36,0.76,2.13,50.69,108.98,62.76,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,mizoram,Mizoram,0.54,0.72,1.25,96.05,103.36,100.10,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,nagaland,Nagaland,1.00,0.69,1.69,84.31,64.09,74.66,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,odisha,Odisha,16.75,8.49,25.24,46.58,99.81,56.77,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,punjab,Punjab,9.88,17.82,27.69,55.24,135.87,89.35,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,rajasthan,Rajasthan,26.47,26.74,53.21,44.00,121.40,64.74,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,sikkim,Sikkim,0.37,0.29,0.67,111.27,80.59,95.39,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,tamil-nadu,Tamil Nadu,17.43,44.88,62.31,49.39,107.16,80.75,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,telangana,Telangana,13.17,22.99,36.16,67.20,122.71,94.33,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,tripura,Tripura,1.09,1.15,2.24,43.99,67.04,53.37,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,uttar-pradesh,Uttar Pradesh,65.51,66.46,131.98,36.19,114.89,55.25,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,uttarakhand,Uttarakhand,4.96,5.06,10.02,66.27,117.40,84.94,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,west-bengal,West Bengal,25.59,38.24,63.82,40.95,102.67,64.00,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,andaman-&-nicobar-islands,Andaman & Nicobar Islands,0.21,0.21,0.42,95.48,115.86,104.61,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,chandigarh,Chandigarh,0.04,1.30,1.34,,,107.11,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,dadra-&-nagar-haveli-&-daman-&-diu,Dadra & Nagar Haveli and Daman & Diu,0.29,0.55,0.85,122.44,48.08,60.96,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,delhi,Delhi,0.29,35.18,35.47,,,162.09,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,jammu-&-kashmir,Jammu & Kashmir,4.50,5.36,9.87,47.45,126.41,71.84,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,ladakh,Ladakh,0.31,0.11,0.42,150.99,114.08,139.20,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,lakshadweep,Lakshadweep,0.05,0.00,0.06,,,83.63,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
2024-06-30,puducherry,Puducherry,0.39,0.82,1.21,77.92,68.65,71.39,"TRAI QPIR June 2024, Table 1.33",https://www.trai.gov.in/sites/default/files/2024-11/QPIR_09102024_0.pdf,"This is the number of internet subscriptions per 100 population, not unique people with internet access. A person may hold more than one subscription, so values can exceed 100."
